P homeless,P exit,P undetected,Simulation,# Consecutive,# Episodic,# Chronic,# Ever Homeless,# Undetected Chronic,Frac Undetected Chronic,Wall Time (s),Episodic as % Chronic
0.005,0.0075,0.0025,0,6530,3999,10529,19912,1097,0.27431857964491124,2.722146725,0.37980814892202486
0.005,0.0075,0.005,0,7121,3325,10446,19917,629,0.18917293233082708,2.8833184119999995,0.3183036569021635
0.005,0.005,0.01,0,9942,1157,11099,19920,93,0.08038029386343994,3.2346355540000005,0.10424362555185152
0.005,0.005,0.0125,0,10015,1145,11160,19926,96,0.08384279475982533,3.3386858640000003,0.10259856630824372
0.005,0.0075,0.0075,0,7219,3145,10364,19911,386,0.12273449920508744,3.1154028229999984,0.3034542647626399
0.005,0.01,0.0025,0,5061,5398,10459,19906,1317,0.24397925157465727,2.946305452999999,0.5161105268190076
0.005,0.01,0.005,0,5524,4910,10434,19914,841,0.17128309572301426,3.0365179970000007,0.47057695993866205
0.005,0.0075,0.01,0,7233,2964,10197,19927,301,0.10155195681511471,3.248180412,0.29067372756693144
0.005,0.0075,0.0125,0,7169,2849,10018,19924,258,0.09055809055809055,3.4739982749999996,0.2843881014174486
0.005,0.01,0.0075,0,5452,4638,10090,19919,570,0.12289780077619664,3.218503287999999,0.4596630327056492
0.005,0.01,0.01,0,5347,4645,9992,19918,461,0.0992465016146394,3.357070758999999,0.4648718975180144
0.005,0.0125,0.0025,0,4028,6071,10099,19912,1253,0.20639103936748476,3.019162326,0.6011486285770868
0.005,0.0125,0.005,0,4484,5851,10335,19899,929,0.15877627755939155,3.0785535680000002,0.5661344944363812
0.005,0.01,0.0125,0,5260,4598,9858,19906,454,0.0987385819921705,3.541209800999999,0.4664232095759789
0.0075,0.0025,0.0025,0,14254,572,14826,19996,182,0.3181818181818182,1.7948685220000016,0.038580871442061244
0.005,0.0125,0.0075,0,4178,5822,10000,19923,677,0.1162830642390931,3.2626768969999986,0.5822
0.0075,0.0025,0.005,0,15001,363,15364,19995,57,0.15702479338842976,2.0765364880000003,0.0236266597240302
0.005,0.0125,0.01,0,4154,5853,10007,19898,598,0.10216982743892021,3.362799473999999,0.5848905765963825
0.0075,0.0025,0.0075,0,15190,275,15465,19992,40,0.14545454545454545,2.5095663409999993,0.017782088587132233
0.0075,0.005,0.0025,0,10401,3669,14070,19996,1144,0.31180158081221043,2.533293403,0.2607675906183369
0.0075,0.005,0.005,0,11438,2829,14267,19992,519,0.18345705196182396,2.7182382260000004,0.19828975958505643
0.005,0.0125,0.0125,0,3895,5879,9774,19913,640,0.1088620513692805,3.5687816309999985,0.6014937589523225
0.0075,0.0025,0.01,0,15410,231,15641,19993,22,0.09523809523809523,2.9413297289999996,0.014768876670289623
0.0075,0.0025,0.0125,0,15325,202,15527,19991,17,0.08415841584158416,3.276330774,0.013009596187286662
0.0075,0.005,0.0075,0,11670,2358,14028,19993,292,0.12383375742154368,3.1484839420000004,0.1680923866552609
0.0075,0.005,0.01,0,11658,2138,13796,19996,185,0.08652946679139382,3.4917362270000005,0.1549724557842853
0.0075,0.0075,0.0025,0,7700,7023,14723,19997,1880,0.2676918695714082,3.200541722999999,0.47700876180126334
0.0075,0.0075,0.005,0,8646,6008,14654,19996,1004,0.16711051930758988,3.3710871240000007,0.4099904462945271
0.0075,0.005,0.0125,0,11807,1921,13728,19993,136,0.07079646017699115,3.7257994450000016,0.13993298368298368
0.0075,0.0075,0.0075,0,8781,5493,14274,19993,621,0.11305297651556527,3.5658595690000006,0.3848255569567045
0.0075,0.0075,0.01,0,9001,5358,14359,19992,439,0.08193355729749907,3.851212488,0.3731457622397103
0.0075,0.01,0.0025,0,5979,9278,15257,19993,2041,0.21998275490407415,3.579955824999999,0.6081143081864062
0.0075,0.0075,0.0125,0,8908,5217,14125,19993,360,0.06900517538815411,4.069482069999999,0.36934513274336284
0.0075,0.01,0.005,0,6735,8501,15236,19996,1241,0.1459828255499353,3.6963654010000013,0.5579548437910212
0.01,0.0025,0.0025,0,15145,785,15930,20000,298,0.3796178343949045,2.005322971000002,0.04927809165097301
0.0075,0.01,0.0075,0,6735,8318,15053,19992,867,0.10423178648713632,3.9080646229999996,0.5525808808875308
0.0075,0.0125,0.0025,0,4903,10437,15340,19994,1944,0.18626041966082207,3.675858112000002,0.6803780964797914
0.01,0.0025,0.005,0,15708,479,16187,19999,95,0.19832985386221294,2.288437749,0.029591647618459258
0.0075,0.01,0.01,0,6768,8035,14803,19992,656,0.08164281269446173,4.089676693999998,0.5427953793150038
0.0075,0.0125,0.005,0,5359,10196,15555,19992,1279,0.12544134954884267,3.9597543159999997,0.6554805528768884
0.01,0.0025,0.0075,0,15887,367,16254,20000,42,0.11444141689373297,2.6690591370000014,0.02257905746277839
0.0075,0.01,0.0125,0,6638,8048,14686,19996,586,0.0728131212723658,4.275345565999999,0.5480049026283536
0.0075,0.0125,0.0075,0,5477,10123,15600,19995,954,0.09424083769633508,4.076608369999999,0.6489102564102565
0.01,0.0025,0.01,0,16124,325,16449,20000,21,0.06461538461538462,3.060393835000003,0.019758040002431757
0.0075,0.0125,0.01,0,5122,10147,15269,19993,783,0.07716566472849118,4.2520492139999995,0.6645490863841771
0.01,0.005,0.0025,0,11392,4653,16045,20000,1586,0.3408553621319579,2.826673694,0.28999688376441257
0.0075,0.0125,0.0125,0,5088,10117,15205,19996,748,0.07393496095680538,4.493110199,0.6653732324893127
0.01,0.0025,0.0125,0,16151,254,16405,19999,15,0.05905511811023622,3.4297538240000023,0.015483084425480036
0.01,0.005,0.005,0,12337,3552,15889,20000,702,0.19763513513513514,3.044230001999999,0.22355088425955064
0.01,0.005,0.0075,0,12677,3212,15889,20000,403,0.12546699875467,3.360373259000003,0.20215243250047202
0.01,0.005,0.01,0,12897,2936,15833,19999,209,0.07118528610354223,3.6247639010000015,0.18543548285227057
0.01,0.0075,0.0025,0,8481,8816,17297,19999,2392,0.2713248638838475,3.4045841160000023,0.5096837601896282
0.01,0.0075,0.005,0,9669,7697,17366,20000,1309,0.1700662595816552,3.623381259000002,0.44322238857537716
0.01,0.005,0.0125,0,12842,2804,15646,19999,176,0.06276747503566334,4.0045749860000015,0.17921513485874985
0.01,0.0075,0.0075,0,9955,7223,17178,20000,783,0.1084037103696525,3.874353923000001,0.42047968331586916
0.01,0.01,0.0025,0,6547,11463,18010,19999,2527,0.22044839919741777,3.8638014350000027,0.6364797334813992
0.01,0.0075,0.01,0,9984,6848,16832,19998,514,0.07505841121495327,4.234305217999999,0.4068441064638783
0.01,0.0075,0.0125,0,9924,6803,16727,20000,418,0.06144348081728649,4.553782711,0.40670771806062056
0.01,0.01,0.005,0,7402,10923,18325,20000,1546,0.1415362080014648,4.3282514779999985,0.5960709413369714
0.01,0.01,0.0075,0,7621,10510,18131,20000,956,0.09096098953377736,4.397280884000001,0.5796701781479234
0.0125,0.0025,0.0025,0,15649,958,16607,20000,378,0.3945720250521921,2.1911928140000008,0.05768651773348588
0.01,0.01,0.01,0,7612,10331,17943,19999,709,0.06862839996128157,4.624668073999999,0.5757677088558212
0.0125,0.0025,0.005,0,16245,584,16829,20000,108,0.18493150684931506,2.567178597999998,0.03470200249569196
0.01,0.0125,0.0025,0,5234,13165,18399,20000,2260,0.17166729965818459,4.490558541999999,0.7155280178270558
0.01,0.01,0.0125,0,7555,10295,17850,20000,569,0.05526954832442933,4.926049047999999,0.576750700280112
0.01,0.0125,0.005,0,5883,12834,18717,20000,1504,0.11718871746922238,4.544569942999999,0.6856868087834589
0.0125,0.0025,0.0075,0,16398,433,16831,20000,54,0.12471131639722864,2.9235485669999974,0.02572633830431941
0.01,0.0125,0.0075,0,5973,12688,18661,20000,997,0.07857818411097099,4.692925139,0.679920690209528
0.0125,0.0025,0.01,0,16503,368,16871,20000,20,0.05434782608695652,3.318150351,0.021812577796218362
0.0125,0.005,0.0025,0,11939,5301,17240,20000,1963,0.37030748915299,3.1724015769999987,0.3074825986078886
0.01,0.0125,0.01,0,5762,12776,18538,20000,806,0.06308703819661866,5.178486898000003,0.689178983709138
0.0125,0.0025,0.0125,0,16555,359,16914,20000,25,0.06963788300835655,3.9440335739999988,0.02122502069291711
0.0125,0.005,0.005,0,13250,4028,17278,20000,827,0.20531281032770607,3.5232937490000005,0.2331288343558282
0.01,0.0125,0.0125,0,5632,12928,18560,20000,748,0.05785891089108911,5.520857635999999,0.696551724137931
0.0125,0.005,0.0075,0,13492,3655,17147,20000,440,0.12038303693570451,4.126543438999999,0.21315682043506154
0.0125,0.005,0.01,0,13575,3408,16983,20000,287,0.08421361502347417,4.621701550000001,0.2006712594947889
0.0125,0.0075,0.0025,0,9006,9834,18840,20000,2821,0.2868619076672768,4.496684012999999,0.5219745222929937
0.0125,0.0075,0.005,0,10201,8572,18773,20000,1553,0.18117125524965003,4.775502579999998,0.45661322111543173
0.0125,0.005,0.0125,0,13536,3206,16742,20000,190,0.059263880224578916,5.109767256000001,0.19149444510811134
0.0125,0.0075,0.0075,0,10560,8084,18644,20000,853,0.10551707075705097,5.121161434999998,0.43359794035614674
0.0125,0.01,0.0025,0,6967,12600,19567,20000,2725,0.21626984126984128,5.3705199619999995,0.6439413297899524
0.0125,0.0075,0.01,0,10662,7875,18537,20000,566,0.07187301587301587,5.636924385,0.4248260236284188
